Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/30,500,177.58,8.51,0.3,0.96,0.0,-38.01,0.1
2/30,1000,178.93,8.03,0.25,0.98,0.0,-36.7,0.1
3/30,1500,178.25,7.95,0.25,0.97,0.0,-37.7,0.1
4/30,2000,178.67,7.97,0.26,1.0,0.0,-35.93,0.1
5/30,2500,183.52,7.87,0.26,0.99,0.0,-36.96,0.1
6/30,3000,181.48,7.95,0.27,0.98,0.01,-35.71,0.1
7/30,3500,184.43,7.95,0.27,0.99,0.0,-35.63,0.1
8/30,4000,182.96,7.91,0.27,0.99,0.0,-36.66,0.1
9/30,4500,182.22,7.87,0.28,0.96,0.0,-35.7,0.1
10/30,5000,183.36,7.85,0.27,0.99,0.0,-36.49,0.1
11/30,5500,181.75,7.87,0.27,1.0,0.0,-35.64,0.1
12/30,6000,183.28,7.85,0.27,1.0,0.0,-35.95,0.1
13/30,6500,182.06,7.82,0.28,1.0,0.02,-36.1,0.1
14/30,7000,183.71,7.8,0.26,1.0,0.0,-34.36,0.1
15/30,7500,183.32,7.74,0.27,0.99,0.06,-36.11,0.1
16/30,8000,185.15,7.86,0.26,1.0,0.0,-36.46,0.1
17/30,8500,182.46,7.8,0.26,0.98,0.0,-35.74,0.1
18/30,9000,184.56,7.76,0.26,1.0,0.0,-35.25,0.1
19/30,9500,183.52,7.82,0.26,1.0,0.0,-35.37,0.1
20/30,10000,183.24,7.75,0.25,1.0,0.0,-36.39,0.1
21/30,10500,184.02,7.69,0.26,0.99,0.0,-35.92,0.1
22/30,11000,181.52,7.67,0.26,1.0,0.0,-34.57,0.1
23/30,11500,183.74,7.68,0.26,1.0,0.0,-34.71,0.1
24/30,12000,179.77,7.73,0.27,1.0,0.0,-35.49,0.1
25/30,12500,183.04,7.75,0.25,1.0,0.0,-36.24,0.1
26/30,13000,183.82,7.8,0.26,0.97,0.0,-36.87,0.1
27/30,13500,185.23,7.78,0.25,1.0,0.0,-34.73,0.1
28/30,14000,186.14,7.79,0.25,0.99,0.0,-35.28,0.1
29/30,14500,184.0,7.77,0.26,1.0,0.0,-35.97,0.1
30/30,15000,184.9,7.76,0.25,0.99,0.0,-36.51,0.1
