Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/30,500,164.34,9.68,0.17,0.96,0.0,-48.41,0.1
2/30,1000,160.66,9.5,0.15,0.99,0.0,-44.85,0.1
3/30,1500,161.32,9.54,0.14,1.0,0.0,-45.32,0.1
4/30,2000,167.05,9.51,0.14,0.95,0.08,-47.98,0.1
5/30,2500,162.77,9.49,0.15,1.0,0.0,-42.98,0.1
6/30,3000,164.64,9.45,0.14,0.97,0.0,-47.65,0.1
7/30,3500,165.46,9.49,0.14,1.0,0.0,-45.63,0.1
8/30,4000,164.28,9.41,0.13,0.99,0.0,-45.11,0.1
9/30,4500,163.33,9.45,0.13,1.0,0.0,-44.51,0.1
10/30,5000,161.88,9.46,0.13,1.0,0.0,-44.05,0.1
11/30,5500,164.01,9.49,0.13,1.0,0.0,-43.97,0.1
12/30,6000,161.79,9.48,0.13,0.99,0.0,-43.72,0.1
13/30,6500,164.63,9.51,0.13,1.0,0.0,-44.77,0.1
14/30,7000,162.6,9.45,0.14,1.0,0.0,-44.49,0.1
15/30,7500,164.0,9.46,0.14,0.97,0.0,-45.4,0.1
16/30,8000,163.75,9.47,0.13,1.0,0.0,-43.65,0.1
17/30,8500,161.57,9.49,0.14,1.0,0.0,-43.38,0.1
18/30,9000,163.62,9.39,0.14,1.0,0.0,-44.34,0.1
19/30,9500,165.0,9.41,0.13,1.0,0.01,-44.15,0.1
20/30,10000,165.01,9.41,0.14,1.0,0.0,-42.95,0.1
21/30,10500,164.82,9.41,0.12,1.0,0.0,-43.5,0.1
22/30,11000,165.86,9.42,0.13,0.94,0.07,-47.22,0.1
23/30,11500,164.19,9.45,0.13,1.0,0.0,-44.58,0.1
24/30,12000,164.74,9.49,0.13,1.0,0.0,-44.59,0.1
25/30,12500,164.28,9.47,0.13,1.0,0.0,-44.42,0.1
26/30,13000,165.49,9.45,0.13,1.0,0.0,-43.91,0.1
27/30,13500,164.85,9.43,0.13,0.96,0.0,-46.2,0.1
28/30,14000,167.24,9.46,0.13,1.0,0.0,-44.32,0.1
29/30,14500,166.23,9.44,0.14,0.97,0.0,-46.55,0.1
30/30,15000,165.83,9.52,0.14,0.99,0.0,-44.48,0.1
