tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 400
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7ff6decbfca0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
1/400               500                 104.52              12.72               0.31                0.12                0.06                -94.53              0.1                 
2/400               1000                94.21               18.35               0.43                0.16                0.01                -91.47              0.1                 
3/400               1500                98.48               19.32               0.43                0.14                0.63                -93.31              0.1                 
4/400               2000                97.93               19.63               0.38                0.19                0.0                 -89.0               0.1                 
5/400               2500                95.54               19.81               0.34                0.23                0.34                -86.14              0.1                 
6/400               3000                94.06               19.99               0.35                0.19                0.0                 -88.95              0.1                 
7/400               3500                94.09               20.2                0.35                0.17                0.05                -90.71              0.1                 
8/400               4000                94.3                20.26               0.33                0.2                 0.0                 -88.58              0.1                 
9/400               4500                96.16               20.34               0.33                0.21                0.21                -87.57              0.1                 
10/400              5000                95.71               20.38               0.32                0.1                 0.83                -96.61              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
11/400              5500                94.64               20.32               0.32                0.21                0.08                -87.43              0.1                 
12/400              6000                96.81               20.37               0.31                0.18                0.37                -90.1               0.1                 
13/400              6500                92.95               20.42               0.29                0.18                0.0                 -89.93              0.1                 
14/400              7000                96.52               20.49               0.31                0.2                 0.12                -88.47              0.1                 
15/400              7500                90.15               20.44               0.31                0.17                0.58                -90.84              0.1                 
16/400              8000                98.31               20.35               0.29                0.13                0.05                -93.62              0.1                 
17/400              8500                101.16              20.47               0.27                0.11                0.32                -95.25              0.1                 
18/400              9000                98.73               20.47               0.3                 0.13                1.22                -94.34              0.1                 
19/400              9500                98.54               20.57               0.29                0.2                 0.1                 -88.28              0.1                 
20/400              10000               96.89               20.59               0.3                 0.1                 0.06                -96.1               0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
21/400              10500               94.13               20.65               0.29                0.18                0.25                -89.98              0.1                 
22/400              11000               96.46               20.59               0.3                 0.19                0.0                 -89.0               0.1                 
23/400              11500               100.37              20.62               0.28                0.18                0.11                -90.07              0.1                 
24/400              12000               99.0                20.58               0.28                0.15                0.23                -92.22              0.1                 
25/400              12500               100.95              20.61               0.27                0.16                0.17                -91.45              0.1                 
26/400              13000               95.51               20.62               0.28                0.28                0.11                -81.94              0.1                 
27/400              13500               99.09               20.74               0.27                0.16                0.0                 -91.31              0.1                 
28/400              14000               97.9                20.69               0.27                0.19                0.14                -89.14              0.1                 
29/400              14500               99.67               20.69               0.27                0.13                0.66                -94.06              0.1                 
30/400              15000               98.39               20.73               0.26                0.23                0.0                 -85.95              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
31/400              15500               100.04              20.67               0.26                0.15                0.05                -92.29              0.1                 
32/400              16000               96.24               20.68               0.24                0.15                3.33                -93.75              0.1                 
33/400              16500               97.44               20.73               0.25                0.14                0.0                 -93.08              0.1                 
34/400              17000               95.91               20.76               0.25                0.2                 0.74                -88.69              0.1                 
35/400              17500               98.77               20.68               0.28                0.19                1.64                -89.79              0.1                 
36/400              18000               97.41               20.63               0.28                0.18                0.0                 -89.9               0.1                 
37/400              18500               98.1                20.76               0.24                0.16                0.64                -92.01              0.1                 
38/400              19000               99.45               20.86               0.26                0.24                0.09                -85.1               0.1                 
39/400              19500               99.7                20.84               0.25                0.16                1.01                -92.03              0.1                 
40/400              20000               102.41              20.78               0.25                0.09                1.16                -97.49              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
41/400              20500               101.91              20.8                0.23                0.22                0.1                 -86.64              0.1                 
42/400              21000               99.06               20.79               0.24                0.21                0.01                -88.37              0.1                 
43/400              21500               98.31               20.79               0.25                0.22                0.1                 -86.92              0.1                 
44/400              22000               96.74               20.8                0.25                0.16                0.67                -91.71              0.1                 
45/400              22500               100.34              20.7                0.24                0.21                0.06                -87.64              0.1                 
46/400              23000               95.68               20.55               0.24                0.25                0.0                 -84.34              0.1                 
47/400              23500               98.3                20.64               0.24                0.23                0.96                -86.9               0.1                 
48/400              24000               97.18               20.72               0.27                0.17                0.37                -91.37              0.1                 
49/400              24500               97.54               20.62               0.27                0.17                0.01                -91.08              0.1                 
50/400              25000               99.75               20.63               0.23                0.12                1.01                -95.55              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
51/400              25500               97.14               20.76               0.25                0.14                0.18                -92.99              0.1                 
52/400              26000               98.85               20.68               0.23                0.21                1.28                -88.23              0.1                 
53/400              26500               97.58               20.83               0.24                0.17                0.0                 -91.32              0.1                 
54/400              27000               96.76               20.84               0.24                0.19                0.02                -88.66              0.1                 
55/400              27500               95.71               20.82               0.22                0.23                0.0                 -86.23              0.1                 
56/400              28000               97.13               20.77               0.24                0.19                1.72                -90.47              0.1                 
57/400              28500               99.18               20.77               0.25                0.09                0.0                 -97.22              0.1                 
58/400              29000               100.84              20.8                0.26                0.16                0.32                -91.87              0.1                 
59/400              29500               100.31              20.79               0.24                0.08                0.06                -97.58              0.1                 
60/400              30000               99.36               20.78               0.23                0.14                0.0                 -92.89              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
61/400              30500               102.1               20.84               0.26                0.17                0.16                -90.64              0.1                 
62/400              31000               101.31              20.85               0.25                0.14                1.23                -93.58              0.1                 
63/400              31500               98.93               20.83               0.23                0.17                0.04                -90.67              0.1                 
64/400              32000               101.04              20.75               0.23                0.28                0.31                -82.53              0.1                 
65/400              32500               99.03               20.79               0.25                0.14                0.31                -93.55              0.1                 
