tag: 
learn: normal
env: RandDynObstEnv-v1
render: False
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 350
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [46]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f37752ac2b0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
1/350               500                 87.8                12.77               0.18                0.2                 0.6                 -88.71              0.1                 
2/350               1000                86.47               18.61               0.26                0.17                0.61                -90.93              0.1                 
3/350               1500                86.53               19.5                0.27                0.19                0.0                 -89.03              0.1                 
4/350               2000                87.32               19.52               0.23                0.24                1.0                 -85.68              0.1                 
5/350               2500                87.24               19.65               0.25                0.19                0.13                -89.07              0.1                 
6/350               3000                86.71               19.87               0.24                0.19                0.02                -89.11              0.1                 
7/350               3500                87.04               20.02               0.25                0.25                0.33                -84.46              0.1                 
8/350               4000                87.96               19.99               0.24                0.17                0.06                -90.19              0.1                 
9/350               4500                87.26               20.15               0.2                 0.24                0.39                -85.22              0.1                 
10/350              5000                87.42               20.11               0.22                0.19                0.9                 -90.0               0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
11/350              5500                86.98               20.15               0.22                0.18                0.05                -89.76              0.1                 
12/350              6000                87.32               20.22               0.21                0.29                0.02                -81.17              0.1                 
13/350              6500                86.09               20.19               0.22                0.26                0.02                -83.55              0.1                 
14/350              7000                87.0                20.23               0.21                0.25                0.0                 -84.47              0.1                 
15/350              7500                86.77               20.27               0.18                0.21                0.26                -87.55              0.1                 
16/350              8000                86.99               20.27               0.19                0.15                0.0                 -92.19              0.1                 
17/350              8500                87.93               20.36               0.19                0.15                0.11                -92.26              0.1                 
18/350              9000                87.44               20.32               0.18                0.22                0.0                 -86.72              0.1                 
19/350              9500                87.44               20.36               0.17                0.27                0.0                 -82.65              0.1                 
20/350              10000               86.64               20.37               0.17                0.15                0.0                 -92.24              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
21/350              10500               87.66               20.37               0.18                0.29                0.0                 -81.29              0.1                 
22/350              11000               87.64               20.32               0.18                0.2                 0.0                 -88.14              0.1                 
23/350              11500               87.81               20.36               0.18                0.22                0.0                 -86.68              0.1                 
24/350              12000               86.9                20.42               0.2                 0.15                0.09                -92.32              0.1                 
25/350              12500               87.92               20.39               0.19                0.22                0.46                -86.87              0.1                 
26/350              13000               87.96               20.4                0.17                0.2                 0.0                 -88.21              0.1                 
27/350              13500               88.13               20.37               0.19                0.26                0.0                 -83.65              0.1                 
28/350              14000               87.69               20.37               0.16                0.26                1.87                -84.67              0.1                 
29/350              14500               86.85               20.43               0.18                0.12                0.03                -94.63              0.1                 
