Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/150,500,200.19,10.79,0.61,0.89,1.18,-55.43,0.1
2/150,1000,196.82,11.98,0.69,0.92,0.58,-55.63,0.1
3/150,1500,189.22,11.59,0.68,0.88,0.36,-59.28,0.1
4/150,2000,184.15,11.71,0.66,0.85,0.51,-61.05,0.1
5/150,2500,181.71,11.55,0.66,0.86,1.47,-59.73,0.1
6/150,3000,183.21,11.25,0.68,0.9,1.57,-57.54,0.1
7/150,3500,187.15,10.84,0.66,0.91,1.05,-54.39,0.1
8/150,4000,185.94,10.48,0.66,0.96,1.44,-54.11,0.1
9/150,4500,202.81,10.44,0.61,0.96,0.56,-50.76,0.1
10/150,5000,202.53,10.4,0.64,0.92,2.74,-53.57,0.1
11/150,5500,205.17,10.43,0.63,0.91,1.13,-52.94,0.1
12/150,6000,203.67,10.32,0.61,0.91,2.84,-52.43,0.1
13/150,6500,207.84,10.26,0.62,0.94,0.92,-51.25,0.1
14/150,7000,204.78,10.52,0.61,0.98,1.39,-45.4,0.1
15/150,7500,207.7,10.46,0.6,0.95,5.85,-50.74,0.1
16/150,8000,205.6,10.26,0.62,0.94,0.97,-47.85,0.1
17/150,8500,205.59,10.16,0.61,0.94,2.52,-47.8,0.1
18/150,9000,206.54,10.22,0.61,0.97,0.72,-45.28,0.1
19/150,9500,208.32,10.1,0.58,0.96,2.84,-47.27,0.1
20/150,10000,208.86,10.13,0.6,0.94,0.96,-49.82,0.1
21/150,10500,208.96,9.99,0.58,0.95,0.83,-46.33,0.1
22/150,11000,207.98,10.01,0.56,0.96,1.97,-49.57,0.1
23/150,11500,207.16,10.14,0.55,0.98,1.63,-46.71,0.1
24/150,12000,210.72,10.17,0.54,0.9,2.22,-50.0,0.1
25/150,12500,209.31,10.16,0.54,0.98,4.34,-45.58,0.1
26/150,13000,207.42,10.18,0.55,1.0,0.67,-45.55,0.1
27/150,13500,208.92,10.16,0.54,0.89,1.58,-53.86,0.1
28/150,14000,209.7,10.22,0.54,0.99,1.39,-44.78,0.1
29/150,14500,208.16,10.3,0.54,1.0,0.9,-46.11,0.1
30/150,15000,209.6,10.14,0.53,1.0,0.83,-44.15,0.1
31/150,15500,207.59,10.06,0.51,0.95,1.02,-46.46,0.1
32/150,16000,206.41,10.0,0.52,0.98,0.65,-42.65,0.1
33/150,16500,207.02,10.03,0.53,0.97,0.64,-43.77,0.1
