Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/100,500,123.29,14.62,1.14,0.04,11.08,-97.86,0.1
2/100,1000,119.46,12.99,1.19,0.7,3.3,-63.06,0.1
3/100,1500,119.11,12.98,1.16,0.48,19.04,-83.59,0.1
4/100,2000,117.98,12.28,1.23,0.59,12.06,-73.64,0.1
5/100,2500,121.06,13.6,0.98,0.35,4.41,-81.59,0.1
6/100,3000,123.7,13.48,1.13,0.7,20.45,-74.56,0.1
7/100,3500,129.2,12.79,1.17,0.79,8.91,-62.07,0.1
8/100,4000,124.62,13.68,1.15,0.69,20.17,-75.4,0.1
9/100,4500,124.91,14.97,0.99,0.92,6.36,-55.12,0.1
10/100,5000,124.12,14.68,1.07,0.9,4.37,-54.09,0.1
11/100,5500,121.7,15.71,0.86,0.96,5.16,-49.92,0.1
12/100,6000,121.6,12.37,1.12,0.97,1.94,-48.33,0.1
13/100,6500,122.08,13.49,1.06,0.9,5.79,-53.7,0.1
14/100,7000,122.05,12.84,1.02,0.93,5.42,-52.01,0.1
15/100,7500,121.95,12.74,1.0,0.95,1.65,-49.24,0.1
16/100,8000,126.14,13.48,0.92,0.93,3.77,-50.14,0.1
17/100,8500,122.73,13.06,0.89,0.91,4.16,-51.08,0.1
18/100,9000,124.06,13.61,0.9,0.98,0.96,-47.35,0.1
19/100,9500,123.88,13.6,0.89,0.94,4.69,-50.92,0.1
20/100,10000,122.78,14.96,0.85,0.95,3.14,-48.89,0.1
21/100,10500,125.04,14.47,0.83,0.92,3.54,-54.28,0.1
22/100,11000,125.56,16.28,0.74,0.91,7.06,-53.6,0.1
23/100,11500,129.71,13.72,0.91,0.92,4.7,-53.54,0.1
24/100,12000,132.44,15.5,0.77,0.83,18.77,-65.59,0.1
25/100,12500,132.68,14.85,0.81,0.93,3.78,-53.82,0.1
26/100,13000,127.94,13.79,0.86,0.85,7.73,-57.92,0.1
27/100,13500,130.91,14.16,0.86,0.98,4.83,-46.75,0.1
28/100,14000,134.49,13.89,0.81,0.93,5.09,-52.61,0.1
29/100,14500,129.82,15.02,0.84,0.91,5.82,-54.16,0.1
30/100,15000,126.6,12.87,0.91,0.93,5.65,-52.86,0.1
31/100,15500,130.14,14.53,0.73,0.91,5.9,-58.3,0.1
32/100,16000,128.86,16.41,0.76,0.93,4.44,-57.63,0.1
33/100,16500,125.33,15.7,0.79,0.91,3.22,-52.52,0.1
34/100,17000,127.22,13.53,0.81,0.92,5.66,-56.22,0.1
35/100,17500,126.11,14.97,0.83,0.89,10.13,-56.46,0.1
36/100,18000,121.62,14.55,0.84,0.99,5.02,-48.65,0.1
37/100,18500,116.47,13.85,0.88,0.97,2.47,-47.4,0.1
38/100,19000,119.89,15.43,0.75,0.97,3.35,-50.63,0.1
39/100,19500,119.58,15.61,0.8,0.95,4.81,-49.55,0.1
40/100,20000,119.91,13.34,0.89,0.9,3.9,-52.14,0.1
41/100,20500,120.89,15.99,0.76,0.97,18.46,-56.63,0.1
42/100,21000,124.64,16.95,0.74,1.0,26.74,-58.65,0.1
43/100,21500,119.85,17.61,0.7,0.95,4.65,-49.81,0.1
44/100,22000,120.17,14.76,0.74,0.95,0.67,-53.41,0.1
45/100,22500,116.33,16.37,0.7,0.96,3.48,-49.01,0.1
46/100,23000,118.46,13.8,0.87,0.94,3.77,-50.02,0.1
47/100,23500,119.99,14.33,0.78,0.97,2.22,-47.42,0.1
48/100,24000,118.19,11.91,0.81,0.77,4.16,-59.7,0.1
49/100,24500,117.93,12.89,0.69,0.94,2.49,-49.2,0.1
50/100,25000,116.74,11.89,0.76,1.0,1.38,-45.34,0.1
51/100,25500,116.67,13.74,0.67,0.98,24.54,-57.63,0.1
52/100,26000,118.82,15.38,0.68,0.94,3.25,-58.06,0.1
53/100,26500,116.74,14.31,0.7,0.86,9.53,-59.24,0.1
54/100,27000,117.11,11.07,0.8,0.96,4.8,-49.22,0.1
55/100,27500,118.64,11.59,0.82,0.92,10.08,-54.17,0.1
56/100,28000,118.36,14.45,0.76,0.91,3.49,-52.35,0.1
57/100,28500,119.18,13.67,0.83,0.92,5.27,-53.36,0.1
58/100,29000,119.01,13.28,0.77,0.95,3.53,-51.17,0.1
59/100,29500,120.71,14.08,0.78,0.94,4.84,-53.67,0.1
60/100,30000,120.09,13.91,0.82,0.71,3.33,-65.0,0.1
61/100,30500,119.48,11.89,0.81,0.88,6.75,-59.65,0.1
62/100,31000,118.62,12.16,0.88,0.88,5.44,-56.27,0.1
63/100,31500,118.62,11.95,0.87,0.97,5.02,-50.24,0.1
64/100,32000,116.74,12.23,0.77,1.0,4.94,-48.38,0.1
