tag: 
learn: normal
env: FrankaDrawerEnv_2-v1
render: True
scenario: lift_drawer_2
control_mode: ik_controller
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1-lift_drawer_2/no-ik
play_epoch: best
epochs: 200
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method FrankaDrawerEnv_2.compute_reward of <envs.franka_drawer_env_2.FrankaDrawerEnv_2 object at 0x7fbe91734370>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
1/200               500                 183.5               12.51               0.51                0.47                2.12                -79.9               0.1                 
2/200               1000                180.15              13.83               0.6                 0.54                0.01                -74.11              0.1                 
3/200               1500                183.16              14.56               0.66                0.7                 4.08                -70.42              0.1                 
4/200               2000                184.92              14.5                0.61                0.54                0.36                -74.54              0.1                 
5/200               2500                180.61              14.69               0.65                0.63                0.0                 -68.78              0.1                 
6/200               3000                181.8               13.18               0.64                0.38                0.55                -81.09              0.1                 
7/200               3500                179.06              13.94               0.69                0.65                0.33                -69.51              0.1                 
8/200               4000                179.85              14.56               0.65                0.69                0.11                -66.62              0.1                 
9/200               4500                181.77              14.87               0.66                0.73                0.1                 -66.65              0.1                 
10/200              5000                180.82              14.58               0.61                0.7                 0.75                -67.05              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
11/200              5500                181.93              14.79               0.64                0.52                0.48                -75.67              0.1                 
12/200              6000                181.75              15.07               0.62                0.6                 0.16                -70.81              0.1                 
13/200              6500                180.26              14.91               0.61                0.78                1.03                -66.48              0.1                 
14/200              7000                183.94              14.84               0.63                0.78                0.05                -62.33              0.1                 
15/200              7500                181.11              14.08               0.56                0.75                0.0                 -65.56              0.1                 
16/200              8000                193.79              14.23               0.65                0.6                 2.3                 -72.52              0.1                 
17/200              8500                206.71              14.98               0.62                0.5                 0.0                 -76.86              0.1                 
18/200              9000                202.58              14.87               0.6                 0.66                0.53                -71.09              0.1                 
19/200              9500                203.92              14.77               0.59                0.74                0.0                 -64.46              0.1                 
20/200              10000               203.17              14.73               0.48                0.63                0.54                -68.34              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
21/200              10500               202.87              14.56               0.5                 0.64                0.26                -72.19              0.1                 
22/200              11000               203.36              15.02               0.65                0.65                0.23                -67.59              0.1                 
23/200              11500               206.05              15.22               0.65                0.76                0.13                -62.65              0.1                 
24/200              12000               205.1               15.04               0.63                0.66                0.33                -71.07              0.1                 
25/200              12500               203.39              13.93               0.67                0.61                0.84                -72.45              0.1                 
26/200              13000               204.49              12.83               0.7                 0.53                0.38                -75.87              0.1                 
27/200              13500               204.17              12.94               0.62                0.86                0.0                 -61.42              0.1                 
28/200              14000               205.33              13.8                0.68                0.54                0.29                -74.95              0.1                 
29/200              14500               204.42              12.95               0.64                0.78                0.0                 -63.46              0.1                 
30/200              15000               202.89              13.39               0.62                0.77                0.0                 -64.54              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
31/200              15500               204.62              12.86               0.56                0.81                0.0                 -61.4               0.1                 
32/200              16000               205.11              12.79               0.64                0.72                1.02                -68.06              0.1                 
33/200              16500               204.74              13.12               0.66                0.77                0.85                -68.93              0.1                 
34/200              17000               205.18              13.4                0.66                0.86                1.2                 -59.69              0.1                 
35/200              17500               204.82              14.13               0.62                0.8                 0.88                -61.09              0.1                 
36/200              18000               202.02              14.15               0.59                0.88                0.42                -58.74              0.1                 
37/200              18500               204.82              14.56               0.65                0.9                 0.0                 -58.7               0.1                 
38/200              19000               207.31              15.06               0.64                0.72                1.01                -67.81              0.1                 
39/200              19500               208.15              14.88               0.7                 0.72                0.0                 -74.02              0.1                 
40/200              20000               203.91              14.89               0.67                0.81                0.13                -61.91              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
41/200              20500               205.26              15.13               0.65                0.75                0.15                -67.89              0.1                 
42/200              21000               205.39              14.91               0.68                0.86                0.13                -62.61              0.1                 
43/200              21500               205.27              14.88               0.66                0.87                0.0                 -58.91              0.1                 
44/200              22000               205.53              14.74               0.62                0.92                0.04                -56.48              0.1                 
45/200              22500               206.71              15.01               0.65                0.77                0.01                -64.39              0.1                 
