tag: 
learn: normal
env: FrankaDrawerEnv_2-v1
render: True
scenario: lift_drawer_2
control_mode: ik_controller
model_path: /home/qiao/RL-Dyn-Env-main/log/FrankaDrawerEnv_2-v1-lift_drawer_2/20231208-232912
play_epoch: best
epochs: 100
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method FrankaDrawerEnv_2.compute_reward of <envs.franka_drawer_env_2.FrankaDrawerEnv_2 object at 0x7fe04464a370>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
1/100               500                 191.03              14.63               0.69                0.83                0.0                 -55.96              0.1                 
2/100               1000                198.95              14.36               0.78                0.79                0.0                 -60.9               0.1                 
3/100               1500                197.95              15.32               0.71                0.56                0.0                 -71.94              0.1                 
4/100               2000                198.63              15.36               0.69                0.92                0.0                 -57.31              0.1                 
5/100               2500                198.85              15.34               0.67                0.85                0.05                -57.43              0.1                 
6/100               3000                196.37              15.91               0.76                0.77                0.0                 -62.82              0.1                 
7/100               3500                202.35              14.31               0.79                0.03                0.0                 -85.81              0.1                 
8/100               4000                208.47              13.32               0.72                0.04                0.0                 -88.59              0.1                 
9/100               4500                198.29              13.44               0.68                0.88                0.0                 -52.77              0.1                 
10/100              5000                200.7               13.44               0.66                0.85                0.0                 -59.21              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
11/100              5500                196.77              14.0                0.67                0.78                0.27                -63.37              0.1                 
12/100              6000                199.54              14.18               0.61                0.81                0.0                 -60.85              0.1                 
13/100              6500                197.24              14.45               0.78                0.92                0.53                -53.62              0.1                 
14/100              7000                198.05              13.29               0.81                0.97                0.0                 -50.85              0.1                 
15/100              7500                199.96              13.13               0.63                0.91                0.0                 -54.77              0.1                 
16/100              8000                198.25              11.66               0.57                0.92                0.01                -56.98              0.1                 
17/100              8500                201.57              13.66               0.65                0.78                0.0                 -59.6               0.1                 
18/100              9000                199.76              14.15               0.64                0.9                 0.0                 -53.38              0.1                 
19/100              9500                199.32              13.76               0.62                0.93                0.0                 -51.1               0.1                 
20/100              10000               202.1               13.14               0.69                0.77                4.56                -66.33              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
21/100              10500               202.15              13.45               0.73                0.92                0.31                -57.08              0.1                 
22/100              11000               203.13              13.27               0.55                0.83                0.42                -59.29              0.1                 
23/100              11500               202.32              13.08               0.61                0.95                0.0                 -49.96              0.1                 
24/100              12000               204.36              12.93               0.6                 0.93                0.01                -53.62              0.1                 
25/100              12500               201.17              11.83               0.69                0.69                0.21                -66.3               0.1                 
