tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: lift_drawer_2
control_mode: ik_controller
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1-lift_drawer_2/no-ik
play_epoch: best
epochs: 100
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f60215484c0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
1/100               500                 186.3               13.54               0.5                 0.61                0.46                -70.54              0.1                 
2/100               1000                193.17              12.5                0.61                0.45                0.62                -77.63              0.1                 
3/100               1500                192.04              13.12               0.63                0.62                0.35                -71.4               0.1                 
4/100               2000                187.38              14.26               0.58                0.64                0.04                -66.93              0.1                 
5/100               2500                195.0               15.3                0.64                0.46                0.67                -78.61              0.1                 
6/100               3000                188.69              15.0                0.55                0.76                0.3                 -64.17              0.1                 
7/100               3500                188.99              14.49               0.58                0.77                0.14                -63.41              0.1                 
8/100               4000                191.14              14.12               0.53                0.85                0.07                -55.91              0.1                 
9/100               4500                182.54              13.75               0.52                0.71                0.08                -67.42              0.1                 
10/100              5000                194.07              13.97               0.55                0.35                0.08                -82.76              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
11/100              5500                196.33              14.29               0.72                0.0                 0.23                -100.82             0.1                 
12/100              6000                182.1               13.56               0.65                0.78                0.3                 -63.53              0.1                 
13/100              6500                180.98              14.51               0.73                0.63                0.47                -70.24              0.1                 
14/100              7000                181.96              12.73               0.65                0.73                0.22                -66.89              0.1                 
15/100              7500                179.33              13.28               0.66                0.87                0.23                -54.49              0.1                 
16/100              8000                177.79              13.59               0.52                0.66                0.46                -63.33              0.1                 
17/100              8500                179.31              12.08               0.6                 0.52                0.13                -72.46              0.1                 
18/100              9000                178.38              11.46               0.6                 0.83                14.64               -66.22              0.1                 
19/100              9500                179.29              12.13               0.52                0.78                0.6                 -61.82              0.1                 
20/100              10000               179.25              13.54               0.51                0.76                0.14                -62.79              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
21/100              10500               180.91              14.06               0.62                0.81                0.47                -61.45              0.1                 
22/100              11000               178.6               14.35               0.52                0.87                0.44                -58.02              0.1                 
23/100              11500               180.05              12.49               0.48                0.66                0.27                -68.8               0.1                 
24/100              12000               181.24              11.99               0.6                 0.83                0.29                -58.67              0.1                 
25/100              12500               183.06              13.13               0.53                0.85                0.17                -57.81              0.1                 
26/100              13000               186.87              12.61               0.66                0.03                0.25                -86.58              0.1                 
27/100              13500               183.21              13.9                0.57                0.86                0.08                -55.59              0.1                 
28/100              14000               180.2               13.29               0.54                0.8                 0.14                -60.24              0.1                 
29/100              14500               198.56              13.88               0.56                0.81                0.3                 -61.54              0.1                 
30/100              15000               198.77              13.54               0.64                0.89                0.39                -57.67              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
31/100              15500               200.92              11.26               0.59                0.58                0.17                -77.64              0.1                 
32/100              16000               198.94              13.39               0.55                0.8                 0.21                -62.69              0.1                 
33/100              16500               196.69              12.89               0.56                0.87                0.27                -52.82              0.1                 
34/100              17000               192.27              12.1                0.71                0.76                0.2                 -63.52              0.1                 
35/100              17500               184.18              13.34               0.56                0.87                4.68                -56.92              0.1                 
36/100              18000               187.61              11.98               0.51                0.67                0.06                -63.88              0.1                 
37/100              18500               187.41              11.49               0.7                 0.38                1.13                -79.74              0.1                 
38/100              19000               191.07              12.26               0.62                0.77                2.0                 -64.71              0.1                 
39/100              19500               190.09              13.82               0.6                 0.91                0.66                -56.99              0.1                 
40/100              20000               191.47              14.1                0.56                0.92                0.24                -61.36              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
41/100              20500               184.04              14.07               0.57                0.91                1.68                -56.71              0.1                 
42/100              21000               181.91              13.03               0.56                0.84                0.58                -58.42              0.1                 
43/100              21500               183.39              13.28               0.67                0.58                1.6                 -73.09              0.1                 
44/100              22000               182.64              13.74               0.57                0.78                0.31                -61.07              0.1                 
45/100              22500               182.81              13.68               0.59                0.65                0.05                -70.94              0.1                 
46/100              23000               180.99              13.87               0.6                 0.74                0.04                -61.43              0.1                 
47/100              23500               182.31              12.67               0.56                0.77                0.64                -61.19              0.1                 
48/100              24000               181.21              12.76               0.56                0.73                0.05                -60.94              0.1                 
49/100              24500               183.22              12.4                0.59                0.88                0.19                -57.1               0.1                 
50/100              25000               183.12              13.95               0.7                 0.85                0.84                -59.55              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
51/100              25500               182.37              14.13               0.65                0.83                0.02                -57.97              0.1                 
52/100              26000               181.85              14.34               0.56                0.8                 1.06                -60.44              0.1                 
53/100              26500               181.41              14.29               0.58                0.85                0.55                -56.06              0.1                 
