tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: lift_drawer_2
control_mode: position
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1/drawer
play_epoch: best
epochs: 150
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f3113904460>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
1/150               500                 163.49              14.43               0.82                0.0                 5.66                -106.82             0.1                 
2/150               1000                160.59              15.83               0.66                0.0                 0.34                -104.17             0.1                 
3/150               1500                193.4               16.46               0.7                 0.03                27.98               -117.05             0.1                 
4/150               2000                170.09              17.25               0.74                0.0                 11.51               -109.72             0.1                 
5/150               2500                195.22              17.84               0.89                0.05                39.34               -122.04             0.1                 
6/150               3000                185.81              17.83               1.01                0.0                 8.86                -107.67             0.1                 
7/150               3500                154.14              14.6                1.2                 0.0                 0.0                 -104.0              0.1                 
8/150               4000                147.61              15.71               0.99                0.0                 1.93                -104.95             0.1                 
9/150               4500                182.74              15.47               1.05                0.07                18.41               -109.47             0.1                 
10/150              5000                170.21              15.81               1.02                0.0                 0.56                -104.11             0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
11/150              5500                169.86              15.65               1.04                0.02                11.0                -107.79             0.1                 
12/150              6000                174.64              16.95               0.98                0.05                20.86               -112.59             0.1                 
13/150              6500                169.28              17.02               0.96                0.06                13.77               -107.19             0.1                 
14/150              7000                173.46              15.51               1.1                 0.23                16.23               -100.86             0.1                 
15/150              7500                174.15              15.96               1.19                0.08                14.38               -107.09             0.1                 
16/150              8000                181.51              15.94               1.23                0.11                22.21               -110.6              0.1                 
17/150              8500                156.4               15.17               1.01                0.0                 2.13                -105.06             0.1                 
18/150              9000                164.11              16.26               1.2                 0.07                11.33               -106.45             0.1                 
19/150              9500                152.77              17.13               1.08                0.02                6.09                -106.37             0.1                 
20/150              10000               165.48              17.55               1.08                0.0                 0.0                 -104.0              0.1                 


