Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/200,500,195.83,15.82,0.99,0.69,24.21,-72.25,0.1
2/200,1000,202.88,14.93,1.03,0.91,17.31,-53.23,0.1
3/200,1500,207.74,14.14,0.9,1.0,28.1,-49.03,0.1
4/200,2000,206.55,13.62,0.89,1.0,18.9,-43.91,0.1
5/200,2500,203.06,13.49,0.86,0.27,17.01,-94.57,0.1
6/200,3000,209.88,13.08,0.8,0.81,15.12,-59.22,0.1
7/200,3500,204.88,12.84,0.83,0.99,8.72,-42.29,0.1
8/200,4000,205.49,12.37,0.85,0.99,9.04,-40.17,0.1
9/200,4500,200.16,10.84,0.83,0.98,17.09,-60.8,0.1
10/200,5000,203.35,11.52,0.81,0.97,16.18,-52.8,0.1
11/200,5500,201.99,12.09,0.88,0.99,9.57,-40.97,0.1
12/200,6000,206.9,11.25,0.84,0.99,10.3,-41.46,0.1
13/200,6500,202.55,11.1,0.86,0.87,13.74,-57.66,0.1
14/200,7000,208.32,12.4,0.85,1.0,18.81,-49.18,0.1
15/200,7500,203.63,12.43,0.84,0.97,12.98,-53.81,0.1
16/200,8000,204.75,11.77,0.87,1.0,9.3,-36.45,0.1
17/200,8500,205.32,10.74,0.87,0.99,7.02,-38.65,0.1
18/200,9000,206.99,10.91,0.85,1.0,9.07,-39.3,0.1
19/200,9500,206.18,11.52,0.81,0.99,10.05,-41.43,0.1
