Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/100,500,179.42,12.07,0.7,0.68,0.1,-66.88,0.1
2/100,1000,176.37,12.75,0.64,0.16,0.04,-81.45,0.1
3/100,1500,179.43,12.89,0.68,0.55,0.01,-71.11,0.1
4/100,2000,179.02,12.68,0.73,0.72,0.05,-61.71,0.1
5/100,2500,177.46,13.42,0.62,0.73,0.0,-62.63,0.1
6/100,3000,176.66,13.98,0.71,0.86,0.0,-59.7,0.1
7/100,3500,180.44,14.21,0.69,0.8,0.04,-57.56,0.1
8/100,4000,177.86,14.25,0.68,0.83,0.02,-62.32,0.1
9/100,4500,178.16,14.22,0.63,0.84,0.0,-57.42,0.1
10/100,5000,180.76,14.23,0.61,0.87,0.04,-56.08,0.1
11/100,5500,180.38,13.61,0.6,0.8,0.02,-58.74,0.1
12/100,6000,180.06,12.86,0.62,0.88,0.0,-58.98,0.1
13/100,6500,179.68,13.01,0.6,0.88,0.04,-57.52,0.1
14/100,7000,177.12,12.79,0.63,0.86,0.0,-58.76,0.1
15/100,7500,179.78,13.03,0.62,0.72,0.02,-63.69,0.1
16/100,8000,180.9,13.46,0.59,0.93,0.0,-51.52,0.1
17/100,8500,179.73,13.29,0.59,0.86,0.0,-59.57,0.1
18/100,9000,178.75,13.59,0.58,0.86,0.0,-57.65,0.1
19/100,9500,177.63,13.97,0.6,0.87,0.01,-55.66,0.1
20/100,10000,178.42,14.19,0.59,0.91,0.0,-55.6,0.1
21/100,10500,177.56,14.22,0.53,0.89,0.04,-51.7,0.1
22/100,11000,180.75,13.86,0.54,0.86,0.01,-55.55,0.1
23/100,11500,178.84,13.16,0.51,0.73,0.01,-61.82,0.1
24/100,12000,179.19,14.11,0.52,0.88,0.0,-56.55,0.1
25/100,12500,177.86,13.89,0.45,0.91,0.02,-58.8,0.1
26/100,13000,176.93,13.61,0.56,0.82,0.02,-58.28,0.1
27/100,13500,179.51,13.27,0.54,0.66,0.0,-66.14,0.1
28/100,14000,183.35,13.28,0.63,0.89,0.01,-53.4,0.1
29/100,14500,179.82,13.04,0.6,0.6,0.03,-67.63,0.1
30/100,15000,178.08,13.79,0.59,0.66,0.03,-63.82,0.1
31/100,15500,180.59,14.48,0.56,0.88,0.04,-55.99,0.1
32/100,16000,178.83,13.99,0.6,0.9,0.02,-52.69,0.1
33/100,16500,178.79,14.38,0.63,0.86,0.02,-55.31,0.1
34/100,17000,179.8,15.26,0.6,0.74,0.01,-62.02,0.1
35/100,17500,179.29,14.83,0.6,0.71,0.0,-71.26,0.1
36/100,18000,179.85,14.65,0.64,0.76,0.0,-58.34,0.1
37/100,18500,179.37,14.29,0.62,0.85,0.0,-62.28,0.1
38/100,19000,180.57,13.81,0.62,0.79,0.04,-63.13,0.1
39/100,19500,179.06,13.87,0.62,0.92,0.0,-52.46,0.1
40/100,20000,179.6,14.26,0.64,0.98,0.0,-50.87,0.1
41/100,20500,178.98,15.31,0.64,0.92,0.01,-57.53,0.1
42/100,21000,181.0,16.08,0.66,0.85,0.0,-61.07,0.1
43/100,21500,182.65,12.27,0.66,0.86,0.0,-57.63,0.1
44/100,22000,179.6,12.82,0.58,0.98,0.0,-49.97,0.1
