Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/200,500,362.88,11.8,1.03,0.01,0.0,-116.39,0.1
2/200,1000,373.2,11.3,1.18,0.21,0.0,-100.18,0.1
3/200,1500,371.88,11.35,1.26,0.28,0.0,-87.85,0.1
4/200,2000,370.61,11.0,1.34,0.25,0.01,-101.06,0.1
5/200,2500,375.09,11.11,1.27,0.26,0.0,-102.25,0.1
6/200,3000,376.32,11.51,1.23,0.21,0.04,-92.37,0.1
7/200,3500,366.41,11.96,1.1,0.0,0.02,-107.95,0.1
8/200,4000,370.47,12.23,1.04,0.1,0.03,-104.12,0.1
9/200,4500,377.73,12.75,1.01,0.29,0.0,-88.43,0.1
10/200,5000,373.72,12.82,1.02,0.2,0.01,-96.86,0.1
11/200,5500,377.02,12.81,1.02,0.16,0.01,-99.19,0.1
