Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/30,500,220.93,10.08,0.32,0.72,0.0,-66.3,0.1
2/30,1000,227.39,9.76,0.27,0.93,0.0,-57.99,0.1
3/30,1500,219.84,9.74,0.24,0.96,0.0,-54.61,0.1
4/30,2000,226.37,9.87,0.26,0.96,0.0,-55.05,0.1
5/30,2500,230.71,9.76,0.26,0.87,0.0,-59.01,0.1
6/30,3000,230.58,9.82,0.24,0.95,0.0,-55.26,0.1
7/30,3500,230.11,10.29,0.26,0.96,0.0,-55.09,0.1
8/30,4000,228.88,10.27,0.26,0.95,0.01,-56.04,0.1
9/30,4500,224.8,10.31,0.26,0.97,0.0,-51.94,0.1
10/30,5000,221.51,10.32,0.26,0.96,0.01,-50.83,0.1
11/30,5500,225.38,10.16,0.25,0.97,0.0,-54.81,0.1
12/30,6000,223.39,10.07,0.25,0.97,0.0,-51.94,0.1
13/30,6500,224.51,10.05,0.25,0.94,0.0,-52.9,0.1
14/30,7000,217.62,9.97,0.24,0.97,0.03,-51.07,0.1
15/30,7500,215.35,9.96,0.25,0.96,0.0,-52.39,0.1
16/30,8000,215.79,10.01,0.24,0.98,0.01,-52.63,0.1
17/30,8500,210.6,10.05,0.25,0.97,0.0,-51.11,0.1
18/30,9000,208.02,9.99,0.23,1.0,0.0,-49.3,0.1
19/30,9500,210.78,9.97,0.23,0.99,0.0,-49.28,0.1
20/30,10000,209.94,9.96,0.23,0.97,0.0,-52.86,0.1
21/30,10500,207.95,10.0,0.22,0.99,0.01,-49.72,0.1
22/30,11000,205.88,9.96,0.23,0.97,0.0,-49.61,0.1
23/30,11500,201.95,9.94,0.22,1.0,0.0,-47.87,0.1
24/30,12000,205.92,9.88,0.23,0.99,0.0,-48.83,0.1
25/30,12500,209.19,9.86,0.23,0.98,0.0,-52.02,0.1
26/30,13000,203.55,9.88,0.22,1.0,0.0,-48.82,0.1
27/30,13500,205.25,9.92,0.22,0.99,0.0,-48.66,0.1
28/30,14000,204.53,9.9,0.21,0.99,0.0,-47.83,0.1
29/30,14500,207.14,9.91,0.21,0.98,0.0,-48.94,0.1
30/30,15000,211.22,9.93,0.21,0.95,0.0,-53.37,0.1
