Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/300,500,90.85,12.69,0.16,0.2,0.44,-88.48,0.1
2/300,1000,82.1,18.62,0.25,0.16,0.0,-91.29,0.1
3/300,1500,85.49,19.3,0.23,0.22,0.15,-86.77,0.1
4/300,2000,79.56,19.51,0.25,0.16,0.14,-91.46,0.1
5/300,2500,82.37,19.7,0.27,0.3,0.52,-80.61,0.1
6/300,3000,82.51,19.74,0.27,0.15,0.46,-92.35,0.1
7/300,3500,82.97,19.85,0.26,0.19,1.08,-89.64,0.1
8/300,4000,81.45,19.92,0.26,0.29,0.2,-81.28,0.1
9/300,4500,80.48,19.96,0.23,0.2,0.15,-88.4,0.1
10/300,5000,81.93,19.96,0.24,0.17,0.0,-90.6,0.1
11/300,5500,83.48,19.88,0.22,0.19,0.05,-88.7,0.1
12/300,6000,82.14,20.02,0.22,0.17,0.0,-90.77,0.1
13/300,6500,84.17,20.12,0.21,0.2,0.34,-88.47,0.1
14/300,7000,84.59,20.12,0.2,0.23,0.0,-86.01,0.1
15/300,7500,83.21,20.12,0.18,0.23,0.27,-86.05,0.1
16/300,8000,83.28,20.1,0.19,0.27,0.0,-82.68,0.1
17/300,8500,83.52,20.14,0.18,0.17,0.03,-90.74,0.1
18/300,9000,84.83,20.19,0.19,0.25,0.81,-84.82,0.1
19/300,9500,80.43,20.12,0.2,0.22,0.68,-87.14,0.1
20/300,10000,81.71,20.07,0.16,0.29,0.02,-81.44,0.1
21/300,10500,80.14,20.2,0.19,0.27,0.0,-82.85,0.1
22/300,11000,80.53,20.25,0.17,0.2,0.49,-88.46,0.1
23/300,11500,82.14,20.2,0.18,0.22,0.0,-86.73,0.1
24/300,12000,84.03,20.19,0.18,0.18,0.54,-90.14,0.1
25/300,12500,81.83,20.23,0.16,0.28,0.19,-82.26,0.1
26/300,13000,81.28,20.26,0.17,0.24,0.16,-85.31,0.1
27/300,13500,84.98,20.12,0.17,0.23,0.95,-86.6,0.1
28/300,14000,80.01,20.19,0.16,0.17,0.1,-90.72,0.1
29/300,14500,83.72,20.28,0.18,0.26,0.31,-83.92,0.1
30/300,15000,84.2,20.29,0.16,0.2,0.32,-88.49,0.1
31/300,15500,84.47,20.32,0.16,0.17,0.0,-90.66,0.1
32/300,16000,79.51,20.28,0.18,0.22,0.14,-86.79,0.1
33/300,16500,81.28,20.3,0.16,0.25,0.52,-84.66,0.1
34/300,17000,81.27,20.29,0.16,0.23,0.0,-85.95,0.1
35/300,17500,81.08,20.32,0.15,0.29,0.2,-81.34,0.1
36/300,18000,80.07,20.29,0.17,0.21,1.79,-88.51,0.1
37/300,18500,83.6,20.31,0.14,0.25,0.0,-84.14,0.1
38/300,19000,84.22,20.36,0.16,0.15,0.16,-92.35,0.1
39/300,19500,82.79,20.34,0.15,0.26,0.33,-83.78,0.1
40/300,20000,80.5,20.33,0.16,0.17,0.0,-90.68,0.1
41/300,20500,80.08,20.37,0.16,0.14,0.03,-92.9,0.1
42/300,21000,83.63,20.35,0.15,0.17,0.0,-90.6,0.1
43/300,21500,79.13,20.36,0.16,0.19,0.34,-89.3,0.1
44/300,22000,82.35,20.42,0.17,0.2,0.03,-88.24,0.1
45/300,22500,81.7,20.38,0.17,0.22,0.14,-87.17,0.1
46/300,23000,82.99,20.37,0.16,0.2,0.01,-88.53,0.1
47/300,23500,81.44,20.39,0.14,0.18,0.0,-89.83,0.1
48/300,24000,80.95,20.39,0.15,0.3,0.01,-80.47,0.1
49/300,24500,81.32,20.28,0.14,0.2,0.0,-88.27,0.1
50/300,25000,83.19,20.36,0.13,0.21,0.04,-87.48,0.1
51/300,25500,83.26,20.4,0.14,0.26,0.53,-83.88,0.1
52/300,26000,81.62,20.36,0.14,0.27,0.0,-82.82,0.1
53/300,26500,84.52,20.43,0.15,0.2,0.76,-88.62,0.1
54/300,27000,79.52,20.4,0.15,0.26,0.01,-83.49,0.1
55/300,27500,79.18,20.35,0.15,0.21,0.26,-87.69,0.1
56/300,28000,83.69,20.42,0.15,0.17,0.45,-90.82,0.1
57/300,28500,83.77,20.36,0.14,0.19,0.84,-89.4,0.1
58/300,29000,83.7,20.4,0.15,0.25,0.04,-84.24,0.1
59/300,29500,79.76,20.43,0.15,0.16,0.12,-91.45,0.1
60/300,30000,80.73,20.42,0.15,0.23,0.3,-86.0,0.1
61/300,30500,81.23,20.39,0.16,0.16,0.21,-91.56,0.1
62/300,31000,79.76,20.35,0.17,0.21,0.13,-87.5,0.1
63/300,31500,82.99,20.4,0.14,0.22,1.43,-87.08,0.1
64/300,32000,83.88,20.4,0.16,0.2,0.76,-88.52,0.1
65/300,32500,81.31,20.45,0.15,0.23,0.3,-85.98,0.1
66/300,33000,84.18,20.37,0.13,0.27,0.32,-82.85,0.1
67/300,33500,78.68,20.35,0.13,0.22,0.11,-86.8,0.1
68/300,34000,85.52,20.43,0.15,0.15,0.74,-92.53,0.1
69/300,34500,82.63,20.41,0.13,0.21,0.07,-87.53,0.1
70/300,35000,84.84,20.44,0.14,0.2,0.03,-88.18,0.1
71/300,35500,85.79,20.51,0.16,0.24,0.09,-85.06,0.1
72/300,36000,82.83,20.49,0.14,0.24,0.0,-85.41,0.1
73/300,36500,84.95,20.42,0.15,0.26,0.0,-83.57,0.1
74/300,37000,83.21,20.42,0.15,0.24,0.28,-85.31,0.1
75/300,37500,85.94,20.34,0.16,0.27,0.01,-82.88,0.1
76/300,38000,81.59,20.37,0.13,0.23,1.03,-86.46,0.1
77/300,38500,83.09,20.36,0.14,0.23,0.25,-85.97,0.1
78/300,39000,81.95,20.28,0.13,0.22,1.36,-87.47,0.1
79/300,39500,79.65,20.33,0.16,0.28,0.21,-82.19,0.1
